p,partial_sum_inv_p
19661,1.404304367289546
19709,1.4043551055309587
19751,1.4044057358787891
19889,1.4044560149275096
19913,1.4045062333777683
19919,1.4045564367012282
19991,1.4046064592113578
20063,1.4046563022059249
20249,1.4047056873607473
20369,1.4047547815725396
20393,1.4048038180066102
20411,1.4048528111965568
20441,1.4049017324822082
20693,1.4049500580029157
20753,1.4049982438073778
20759,1.4050464156846358
20771,1.4050945597316244
20789,1.4051426620934504
20879,1.4051905571075793
20921,1.4052383559699664
20939,1.4052861137425439
20963,1.4053338168384748
21011,1.4053814109558418
21089,1.4054288290410994
21149,1.405476112600606
21179,1.4055233291830698
21221,1.4055704523158157
21341,1.4056173104761642
21383,1.405664076598785
21419,1.4057107641192106
21611,1.40575703685069
21701,1.4058031176764583
21713,1.4058491730349993
21803,1.405895038282901
21893,1.4059407149832162
22013,1.4059861426850286
22079,1.406031434591365
22133,1.4060766159946994
22259,1.4061215416427517
22271,1.406166443084088
22343,1.4062111998311675
22349,1.4062559445624754
22409,1.40630056948996
22433,1.4063451466753565
22469,1.4063896524388528
22481,1.406434134445881
22541,1.4064784980499803
22751,1.4065224521618875
22853,1.4065662100930125
22943,1.4066097963720519
23099,1.4066530882894508
23279,1.4066960454611506
23321,1.406738925269049
23339,1.4067817720062699
23459,1.406824399569252
23561,1.4068668425894972
23603,1.4069092100851546
23669,1.4069514594408519
23753,1.406993559386122
23819,1.4070355426767724
23909,1.4070773679308608
23981,1.4071190676097733
24203,1.407160384801857
24239,1.4072016406292427
24281,1.4072428250944624
24473,1.4072836864518767
24509,1.4073244877901607
24551,1.407365219328591
24611,1.4074058515662085
24683,1.4074463652801006
24749,1.407486770953057
24971,1.4075268174069435
25073,1.4075667009470065
25229,1.4076063378727666
25523,1.4076455182199044
25601,1.407684579194085
25643,1.4077235761913163
25673,1.407762527618886
25703,1.4078014335831703
25799,1.4078401947754646
25841,1.407878892968259
25913,1.4079174836370354
25919,1.407956065372442
26111,1.4079943634077527
26189,1.408032547378122
26459,1.4080703417014144
26501,1.4081080761265306
26573,1.4081457083095734
26633,1.4081832557131704
26849,1.408220501048192
26879,1.408257704813213
26891,1.4082948919762044
26993,1.4083319386179263
27143,1.4083687805292846
27281,1.4084054360771017
27479,1.4084418275032817
27539,1.4084781396424297
27551,1.408514435965612
27581,1.4085506928090914
27743,1.4085867379375923
27773,1.4086227441306574
27809,1.408658703712088
27893,1.4086945550009418
27983,1.4087302909835027
28001,1.4087660039937524
28019,1.4088016940612067
28403,1.408836901609705
28499,1.4088719905601945
28559,1.4089070057918203
28571,1.408942006316828
28643,1.4089769188609051
28751,1.409011700259813
28793,1.409046430923516
28859,1.4090810821588324
28901,1.4091156830376947
28949,1.4091502265452425
28961,1.4091847557396764
29021,1.4092192135460924
29033,1.4092536571103125
29201,1.4092879025128673
29339,1.4093219868374864
29363,1.4093560433031065
29453,1.4093899957018434
29483,1.4094239135528084
29531,1.4094577762733393
29723,1.4094914202527493
29873,1.4095248952971038
30269,1.4095579323977678
30323,1.4095909106650897
30389,1.409623817308941
30449,1.4096566591099855
30671,1.4096892631985383
30689,1.4097218481638354
30773,1.409754344183073
30851,1.4097867580432397
30983,1.4098190338073684
31019,1.409851272112923
31151,1.409883373811103
31253,1.4099153707393979
31319,1.4099473002390626
31469,1.4099790775437115
31649,1.410010674118643
31721,1.4100421989759928
31793,1.410073652440592
31799,1.4101050999703884
31859,1.410136488275106
32003,1.4101677353456932
32009,1.4101989765591019
32141,1.4102300894678477
32159,1.4102611849621105
32381,1.4102920672696366
32531,1.4103228071792613
32561,1.4103535187667433
32573,1.4103842190399758
32633,1.410414862866777
32771,1.41044537765119
32789,1.410475875684067
32843,1.410506323572506
32933,1.4105366882523105
33023,1.4105669701770296
33053,1.4105972246168685
33119,1.4106274187652426
33179,1.410657558311341
33191,1.4106876869606737
33461,1.4107175724990617
33479,1.410747441969476
33521,1.4107772740150595
33569,1.410807063404079
33623,1.4108368049500446
33713,1.4108664670981774
33749,1.410896097605748
33773,1.4109257070570849
33809,1.410955284980123
33941,1.410984747871611
34253,1.4110139423947186
34283,1.411043111370596
34319,1.4110722497487538
34439,1.4111012865965136
34631,1.4111301624591799
34883,1.4111588297183033
34913,1.4111874723442592
34949,1.411216085466237
35069,1.411244600679103
35081,1.4112731061378985
35099,1.4113015969780933
35111,1.4113300780808815
35291,1.4113584139172137
35573,1.4113865251251523
35831,1.4114144339192134
35933,1.4114422634909163
35993,1.411470046670979
35999,1.4114978252203831
36083,1.4115255391022665
36191,1.411553170281289
36251,1.4115807557272075
36353,1.411608263773311
36383,1.4116357491373546
36479,1.4116631621695102
36563,1.4116905122228427
36629,1.4117178129954546
36761,1.4117450157374911
36791,1.4117721962979544
36821,1.4117993547129892
36923,1.4118264381027463
36929,1.4118535170921584
37013,1.4118805346265382
37049,1.4119075259083542
37139,1.4119344517814256
37181,1.4119613472387829
37253,1.411988190714476
37379,1.4120149437041225
37619,1.412041526016252
37853,1.4120679440016164
37871,1.4120943494305727
37991,1.4121206714542098
38039,1.4121469602630639
38183,1.4121731499286219
38189,1.4121993354794349
38201,1.4122255128046357
38231,1.4122516695883975
38303,1.412277777203989
