p,p_mod_20,principal,nonprincipal
16229,9,True,False
16249,9,True,False
16267,7,False,True
16301,1,True,False
16349,9,True,False
16361,1,True,False
16363,3,False,True
16369,9,True,False
16381,1,True,False
16421,1,True,False
16427,7,False,True
16447,7,False,True
16481,1,True,False
16487,7,False,True
16529,9,True,False
16547,7,False,True
16561,1,True,False
16567,7,False,True
16603,3,False,True
16607,7,False,True
16649,9,True,False
16661,1,True,False
16703,3,False,True
16729,9,True,False
16741,1,True,False
16747,7,False,True
16763,3,False,True
16787,7,False,True
16823,3,False,True
16829,9,True,False
16843,3,False,True
16883,3,False,True
16889,9,True,False
16901,1,True,False
16903,3,False,True
16921,1,True,False
16927,7,False,True
16943,3,False,True
16963,3,False,True
16981,1,True,False
16987,7,False,True
17021,1,True,False
17027,7,False,True
17029,9,True,False
17041,1,True,False
17047,7,False,True
17107,7,False,True
17123,3,False,True
17167,7,False,True
17183,3,False,True
17189,9,True,False
17203,3,False,True
17207,7,False,True
17209,9,True,False
17321,1,True,False
17327,7,False,True
17341,1,True,False
17383,3,False,True
17387,7,False,True
17389,9,True,False
17401,1,True,False
17443,3,False,True
17449,9,True,False
17467,7,False,True
17483,3,False,True
17489,9,True,False
17509,9,True,False
17569,9,True,False
17581,1,True,False
17609,9,True,False
17623,3,False,True
17627,7,False,True
17669,9,True,False
17681,1,True,False
17683,3,False,True
17707,7,False,True
17729,9,True,False
17747,7,False,True
17749,9,True,False
17761,1,True,False
17783,3,False,True
17789,9,True,False
17807,7,False,True
17827,7,False,True
17863,3,False,True
17881,1,True,False
17903,3,False,True
17909,9,True,False
17921,1,True,False
17923,3,False,True
17929,9,True,False
17981,1,True,False
17987,7,False,True
17989,9,True,False
18041,1,True,False
18043,3,False,True
18047,7,False,True
18049,9,True,False
18061,1,True,False
18089,9,True,False
18121,1,True,False
18127,7,False,True
18143,3,False,True
18149,9,True,False
18169,9,True,False
18181,1,True,False
18223,3,False,True
18229,9,True,False
18269,9,True,False
18287,7,False,True
18289,9,True,False
18301,1,True,False
18307,7,False,True
18329,9,True,False
18341,1,True,False
18367,7,False,True
18401,1,True,False
18427,7,False,True
18443,3,False,True
18461,1,True,False
18481,1,True,False
18503,3,False,True
18521,1,True,False
18523,3,False,True
18541,1,True,False
18583,3,False,True
18587,7,False,True
18661,1,True,False
18701,1,True,False
18743,3,False,True
18749,9,True,False
18787,7,False,True
18803,3,False,True
18869,9,True,False
18947,7,False,True
19001,1,True,False
19009,9,True,False
19069,9,True,False
19081,1,True,False
19087,7,False,True
19121,1,True,False
19141,1,True,False
19163,3,False,True
19181,1,True,False
19183,3,False,True
19207,7,False,True
19249,9,True,False
19267,7,False,True
19289,9,True,False
19301,1,True,False
19309,9,True,False
19381,1,True,False
19387,7,False,True
19403,3,False,True
19421,1,True,False
19423,3,False,True
19427,7,False,True
19429,9,True,False
19441,1,True,False
19447,7,False,True
19463,3,False,True
19469,9,True,False
19483,3,False,True
19489,9,True,False
19501,1,True,False
19507,7,False,True
19541,1,True,False
19543,3,False,True
19583,3,False,True
19603,3,False,True
19609,9,True,False
19661,1,True,False
19681,1,True,False
19687,7,False,True
19709,9,True,False
19727,7,False,True
19763,3,False,True
19801,1,True,False
19841,1,True,False
19843,3,False,True
19861,1,True,False
19867,7,False,True
19889,9,True,False
19927,7,False,True
19949,9,True,False
19961,1,True,False
19963,3,False,True
